Numero	Nombre
10	AGUASCALIENTES AGS
11	ASIENTOS AGS
12	CALVILLO AGS
13	COSIO AGS
14	JESUS MARIA AGS
15	PABELLON DE ARTEAGA AGS
16	RINCON DE ROMOS AGS
17	SAN FCO ROMO AGS
20	MEXICALI BCN
21	CIUDAD MORELOS BCN
22	ENSENADA BCN
23	GUADALUPE VICTORIA BCN
24	RODOLFO SANCHEZ T. BCN
25	SAN FELIPE BCN
26	SAN QUINTIN BCN
27	TECATE BCN
28	PLAYAS DE ROSARITO BCN
40	LA PAZ BCS
41	CABO SAN LUCAS BCS
42	CIUDAD CONSTITUCION BCS
43	GUERRERO NEGRO BCS
44	LORETO BCS
45	SAN JOSE DEL CABO BCS
46	SANTA ROSALIA BCS
47	TODOS SANTOS BCS
50	CAMPECHE CAM
51	CALKINI CAM
52	CIUDAD DEL CARMEN CAM
53	CHAMPOTON CAM
54	ESCARCEGA CAM
55	HOPELCHEN CAM
56	PALIZADA CAM
57	SEYBAPLAYA CAM
60	TORREON COA
61	ABASOLO COA
62	ACUÑA COA
63	ALLENDE COA
64	FRANCISCO I. MADERO COA
65	FRONTERA COA
66	LAGUNA DEL REY COA
67	MATAMOROS COA
68	MONCLOVA COA
69	MORELOS COA
70	MUZQUIZ COA
71	NAVA COA
72	NVA ROSITA COA
73	PALAU COA
74	PARRAS COA
75	PIEDRAS NEGRAS COA
76	RAMOS ARIZPE COA
77	SABINAS COA
78	SALTILLO COA
79	SAN BUENAVENTURA COA
80	SAN PEDRO COA
81	ZARAGOZA COA
90	COLIMA COL
91	ARMERIA COL
92	COMALA COL
93	COQUIMATLAN COL
94	CUAUHTEMOC COL
95	MANZANILLO COL
96	QUESERIA COL
97	TECOMAN COL
98	VILLA DE ALVAREZ COL
100	TUXTLA GUTIERREZ CHIS
101	ACAPETAHUA CHIS
102	ANGEL ALBINO CORZO CHIS
103	ARRIAGA CHIS
104	BOCHIL CHIS
105	CACAHOATAN CHIS
106	CATAZAJA CHIS
107	CINTALAPA CHIS
108	CIUDAD HIDALGO CHIS
109	COMITAN DE DOMINGUEZ CHIS
110	COPAINALA CHIS
111	CHIAPA DE CORZO CHIS
112	CHICOMUSELO CHIS
113	FRONTERA COMALAPA CHIS
114	HUIXTLA CHIS
115	JIQUIPILAS CHIS
116	JUAREZ CHIS
117	LA CONCORDIA CHIS
118	LA TRINITARIA CHIS
119	LAS MARGARITAS CHIS
120	LAS ROSAS CHIS
121	MAPASTEPEC CHIS
122	MOTOZINTLA CHIS
123	OCOSINGO CHIS
124	OCOZOCOAUTLA DE E. CHIS
125	PALENQUE CHIS
126	PICHUCALCO CHIS
127	PIJIJIAPAN CHIS
128	REFORMA CHIS
129	SALTO DE AGUA CHIS
130	SN CRISTOBAL DE LAS C. CHIS
131	SIMOJOVEL CHIS
132	SOCOLTENANGO CHIS
133	TAPACHULA CHIS
134	TEOPISCA CHIS
135	TONALA CHIS
136	TUXTLA CHICO CHIS
137	VENUSTIANO CARRANZA CHIS
138	VILLA CORZO CHIS
140	YAJALON CHIS
150	CHIHUAHUA CHIH
151	AHUMADA CHIH
152	ANAHUAC CHIH
153	ASCENSION CHIH
154	BUENAVENTURA CHIH
155	CAMARGO CHIH
156	CASAS GRANDES CHIH
157	CREEL CHIH
158	CUAUHTEMOC CHIH
159	GOMEZ FARIAS CHIH
160	GUACHOCHI CHIH
161	GUERRERO CHIH
162	HIDALGO DEL PARRAL CHIH
163	JIMENEZ CHIH
164	JUAREZ CHIH
165	MADERA CHIH
166	MEOQUI CHIH
167	NAMIQUIPA CHIH
168	NVO CASAS GRANDES CHIH
169	OJINAGA CHIH
170	PRAXEDIS G. GUERRERO CHIH
171	PUERTO PALOMAS CHIH
172	SANTA BARBARA CHIH
173	SAUCILLO CHIH
180	DISTRITO FEDERAL DF
190	DURANGO DGO
191	CANATLAN DGO
192	CUENCAME DGO
193	EL SALTO DGO
194	GUADALUPE VICTORIA DGO
195	NAZAS DGO
196	NVO IDEAL DGO
197	SAN JUAN DEL RIO DGO
198	SANTA MARIA DEL ORO DGO
199	SANTIAGO PAPASQUIARO DGO
200	TAYOLTITA DGO
201	TEPEHUANES DGO
202	VICENTE GUERRERO DGO
210	GUANAJUATO GTO
211	ABASOLO GTO
212	ACAMBARO GTO
213	APASEO EL ALTO GTO
214	APASEO EL GRANDE GTO
215	CELAYA GTO
216	COMONFORT GTO
217	CORONEO GTO
218	CORTAZAR GTO
219	CUERAMARO GTO
220	DOLORES HIDALGO GTO
221	HUANIMARO GTO
